A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
997181235,ΕΛΛΗΝΙΚΑ ΣΥΣΤΗΜΑΤΑ ΠΑΡΑΓΩΓΗΣ ΠΟΛΙΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΗΛΙΟΥΠΟΛΕΩΣ 1,17237 ΥΜΗΤΤΟΣ,"111.268.175,36",-,"50.876.160,45","162.144.335,81",-,-,-,.,"(37.9497452, 23.7434498)"
99003840,TEMUKO TRADING LIMITED,ΜΕΤΑΜΟΡΦΟΣΕΩΣ 112,18345 ΜΟΣΧΑΤΟ,"100.347.521,62",-,"61.148.888,73","161.496.410,35",-,-,-,.,"(37.9511757, 23.6819241)"
999520792,STALCO ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΙΑ,ΚΑΤΩΘΙ ΣΤΡΑΤΟΠΕΔΟΥ ΑΝΔΡΙΚΑΚΗ 0,66100 ΔΡΑΜΑ,"64.174.641,77",-,"97.151.516,15","161.326.157,92",-,-,-,.,"(41.1502273, 24.1469489)"
94059612,ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΕΤΑΙΡEIA ΒΙΟΜΗXANIKHΣ ΑΝΑΠΤΥΞΕΩΣ ΘΡΑΚΗΣ ΑΒΕ ΣΕΒΑΘ,ΦΕΛΩΝΗ ΞΑΝΘΗ 6ΧΙΛ 6ΧΙΛ,67100 ΞΑΝΘΗ,"62.449.598,64",-,"94.063.771,66","156.513.370,30","1.414.882,56","1.599.121,27","3.014.003,83",.,"(41.0980413, 24.9223465)"
95237824,ΚΑΛΛΙ TRANSIME ΕΠΕ,ΒΕΡΑΝΖΕΡΟΥ 34,10432 ΑΘΗΝΑ,"9.899,88","52.439.802,80","105.953.779,99","158.403.482,67",-,-,-,.,"(37.98600709999999, 23.7267682)"
94134259,ΟΑΕ ΑΕ ΟΡΓΑΝΙΣΜΟΣ ΑΝΑΣΥΓΚΡΟΤΗΣΕΩΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,Λ ΣΥΓΓΡΟΥ 234,17672 ΚΑΛΛΙΘΕΑ,"52.639.247,74",-,"105.240.175,16","157.879.422,90",-,-,-,.,"(37.9516783, 23.7098205)"
95365404,ΕΥΡΩΜΕΤΑΛΛΙΚΗ ΕΠΕ,ΘΕΣΗ ΣΥΝΤΡΙΒΑΝΙ 0,19300 ΑΣΠΡΟΠΥΡΓΟΣ,"57.229.202,54",-,"99.963.270,61","157.192.473,15",-,-,-,.,"(38.0501015, 23.6108191)"
94236737,ΚΑΤΣΑΝΕΒΑΣ ΑΝΩΝ ΒΙΟΤ ΚΑΙ ΕΜΠ ΕΤΑΙΡ ΔΙΑΝΟΜΩΝ,ΒΙΠΕΗΡΑΚΛΕΙΟΥ   ΟΔΟΣ Α 0,71601 ΝΕΑ ΑΛΙΚΑΡΝΑΣΣΟΣ,"71.958.136,67",-,"83.622.185,76","155.580.322,43","516.770,80","983.731,19","1.500.501,99",.,"(35.320749, 25.1694665)"
998475628,SYCOR HELLAS ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΑΝΑΤΟΛΗΣ 9-15,14231 Ν ΙΩΝΙΑ,"93.100.817,80",-,"62.456.220,52","155.557.038,32",-,-,-,.,"(38.0431559, 23.7545312)"
999769272,ΓΕΩΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΡΙΖΩΜΑ 0,42100 ΤΡΙΚΑΛΑ,"86.460.427,39",-,"67.990.613,06","154.451.040,45",-,-,-,.,"(39.662619, 21.7357206)"
95591211,MATECH ΜΗΧΑΝΟΓΡΑΦΙΚΗ ΑΝΑΛΥΣΗ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΓ ΣΑΡΑΝΤΑ 29,18346 ΜΟΣΧΑΤΟ,"53.437.247,96",-,"93.825.104,65","147.262.352,61",-,-,-,.,"(37.9573454, 23.6838624)"
94017565,ΕΛ ΠΕΤΡΟΛ ΕΤΑΙΡΕΙΑ ΠΕΤΡΕΛΑΙΩΝ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ 194,18863 ΠΕΡΑΜΑ,"17.506.414,37","45.510.524,75","84.060.941,88","147.077.881,00",-,-,-,.,"(37.9625138, 23.5883577)"
94320394,ΠΟΛΙΤΗΣ ΑΕΒΕ,ΚΑΡΥΟΦΥΛΛΗ 12,11527 ΑΘΗΝΑ,-,"53.610.702,99","91.677.705,79","145.288.408,78",-,-,-,.,"(37.9862883, 23.766467)"
95725198,ΓΟΥΑΙΝΑΣ ΠΡΟΜΟΣΙΟΝ ΕΠΕ,ΝΟΤΑΡΑ  Γ ΟΡΟΦΟΣ 71,18535 ΠΕΙΡΑΙΑΣ,"65.843.762,35",-,"71.845.196,51","137.688.958,86","2.509.936,24","4.459.745,69","6.969.681,93",.,"(37.9424221, 23.6447346)"
99554267,TRUST ORION ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΕΣ ΜΕΛΕΤΕΣ ΕΡΓΑΣΙΕΣ ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ LOGISTICS ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΜΠΟ,ΤΖΩΡΤΖ 6,10677 ΑΘΗΝΑ,"66.883.213,89",-,"77.282.115,43","144.165.329,32",-,-,-,.,"(37.9854644, 23.7316959)"
95701453,ΜΕΝΤΙΤΕΡΑΝΙΑΝ ΣΑΠΛΑΙΣ ΕΠΕ,ΘΕΡΜΟΠΥΛΩΝ 28,18545 ΠΕΙΡΑΙΑΣ,"6,94","46.547.632,91","94.032.007,63","140.579.647,48",-,-,-,.,"(37.9501127, 23.6365719)"
99354860,ΝΤΕΣΠΕΚ ΕΛΛΑΣ ΑΝΩΝΥΜΗ ΕΤΑΡΕΙΑ ΕΙΣΑΓΩΓΗΣ ΕΞΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΕΙΑΣ ΕΙΔΩΝ ΜΗΧΑΝΟΓΡΑΦΗΣΗΣ,ΑΡΧΙΜΗΔΟΥΣ 8,17676 ΚΑΛΛΙΘΕΑ,"53.167.927,94",-,"86.498.646,52","139.666.574,46",-,-,-,.,"(37.9615087, 23.6968499)"
94100220,ALAPIS ΑΝΩΝΥΜΟΣ ΣΥΜΜΕΤΟΧΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΚΑΙ ΧΗΜΙΚΩΝ ΠΡΟΙΟΝΤΩΝ,ΑΥΤΟΚΡΑΤΟΡΟΣ ΝΙΚΟΛΑΟΥ 2,11745 ΑΘΗΝΑ,"65.757.139,78","639.995,02","67.100.040,19","133.497.174,99","3.129.133,67","2.597.299,08","5.726.432,75",.,"(37.9606578, 23.7204513)"
94508041,ΑΛΦΑ ΘΗΤΑ ΜΙ ΓΡΑΦΙΚΕΣ ΤΕΧΝΕΣ ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΩΛΕΝΟΥ 9,11362 ΑΘΗΝΑ,"77.793.429,58",-,"51.266.839,63","129.060.269,21","3.346.287,05","4.628.069,37","7.974.356,42",.,"(37.9971286, 23.742504)"
94400148,SUPERTRANS ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΜΕΤΑΦΟΡΩΝ,ΠΛΑΤ ΕΛΕΥΘΕΡΙΑΣ 25,10553 ΑΘΗΝΑ,"60.106.822,97","603,03","75.126.314,22","135.233.740,22","645.438,87","739.799,66","1.385.238,53",.,"(37.980485, 23.7207713)"
95273073,THEO TEXTIL ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,Ν ΗΡΑΚΛΕΙΑ 0,63080 Ν ΚΑΛ/ΚΡΑΤΕΙΑ,"52.547.128,11",-,"83.683.289,67","136.230.417,78",-,-,-,.,"(40.3497861, 23.0092148)"
999871310,OPTICAL MEDIA EUROPE PRODUCTION  ABEE ΑΝΑΛΟΓΙΚΩΝ ΨΗΦΙΑΚΩΝ ΟΠΤΙΚΩΝ ΜΕΣΩΝ ΚΑΙ ΜΗΧΑΝΗΜΑΤΩΝ ΥΨΗΛΗΣ ΤΕΧΝΟ,2 ΧΛΜ ΘΗΒΩΝ ΜΟΥΡΙΚΙΟΥ 0,32200 ΘΗΒΑ,"51.450.678,00",-,"79.231.688,77","130.682.366,77","974.091,55","1.793.995,01","2.768.086,56",.,"(38.42504660000001, 23.3558018)"
94255739,ΦΛΩΡΙΝΑ Α ΧΩΝΑΙΟΣ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΧΥΜΩΝ ΑΝΑΨΥΚΤΙΚΩΝ ΚΑΙ ΕΠΙΤΡΑΠΕΖΙΩΝ ΝΕΡΩ,ΑΡΙΣΤΟΤΕΛΟΥΣ 24,54623 ΘΕΣΣΑΛΟΝΙΚΗ,"44.115.219,68",-,"75.640.301,64","119.755.521,32","4.898.752,24","8.649.575,77","13.548.328,01",.,"(40.6350718, 22.9436829)"
95568397,ΨΗΦΙΑΚΕΣ ΑΝΑΜΝΗΣΕΙΣ ΕΠΕ,ΧΑΡΑΣ 8,14121 ΗΡΑΚΛΕΙΟ,"67.586.293,82",-,"62.905.128,59","130.491.422,41",-,-,-,.,"(38.0466537, 23.768931)"
999397607,ΜΑΡΓΕΛΗΣ ΑΝΩΝ ΕΤΑΙΡ ΙΔΙΩΤΙΚΗΣ ΕΠΙΧΕΙΡ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣ ΑΣΦΑΛ ΥΠΗΡΕΣ ΚΑΙ ΕΙΔΗ ΑΣΦΑΛΕΙΑΣ ΚΑΙ ΚΑΘΑΡΙΣΜΟΥ,ΒΑΣ ΑΛΕΞΑΝΔΡΟΥ 8 ΘΕΣΗ ΤΟΥΡΑΛΙ 0,14342 Ν ΦΙΛΑΔΕΛΦΕΙΑ,"63.222.430,39",-,"61.863.788,14","125.086.218,53","2.294.358,12","2.986.974,90","5.281.333,02",.,"(38.046746, 23.7385305)"
998485150,ΚΟΝΙΚΛΗΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ ΙΔΙΩΤΙΚΗ ΕΠΙΧΕΙΡΙΣΗ ΥΠΗΡΕΣΙΩΝ ΑΣΦΑΛΕΙΑΣ ΚΑΘΑΡΙΣΜΟΥ,ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ 13,18532 ΠΕΙΡΑΙΑΣ,"68.235.655,02",-,"61.052.882,20","129.288.537,22",-,-,-,.,"(37.9432681, 23.6480093)"
95489806,ΤΡΟΦΟΠΑΡΑΓΩΓΙΚΗ ΕΠΕ,ΒΑΣ ΓΕΩΡΓΙΟΥ 18,13451 ΚΑΜΑΤΕΡΟ,"72.170.483,65",-,"55.516.692,48","127.687.176,13",-,-,-,.,"(38.0579049, 23.8042258)"
94507529,ΕΝΑ ΑΝΩΝΥΜΟΣ ΒΙΟΜHXANIKH ΕΜΠΟΡIKH ΕΤΑΙΡEIA ΠΕΤΡEΛΑΙΟΕΙΔΩΝ ΚΑΙ ΥΓΡΑΕΡΙΟΥ,ΑΚΤΗ ΜΙΑΟΥΛΗ 73,18537 ΠΕΙΡΑΙΑΣ,"54.844.104,51","3.068.564,66","69.552.552,33","127.465.221,50",-,-,-,.,"(37.9375018, 23.6395462)"
94022004,DRACOIL ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΕΙΑ ΠΕΤΡΕΛΑΙΩΝ  ΑΕ,ΛΕΩΦ ΠΕΝΤΕΛΗΣ ΚΑΙ ΗΡΩΔΟΥ ΑΤΤΙΚΟΥ 1,15233 ΧΑΛΑΝΔΡΙ,-,"52.673.200,69","74.176.618,94","126.849.819,63",-,-,-,.,"(38.022867, 23.8007245)"
95637045,ΓΙΟΥΝΙΡΕΝΤ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΝΟΙΚΙΑΣΕΩΣ ΑΥΤΟΚΙΝΗΤΩΝ,Λ ΒΟΥΛΙΑΓΜΕΝΗΣ 606,16777 ΕΛΛΗΝΙΚΟ,"59.988.347,07",-,"66.721.469,84","126.709.816,91",-,-,-,.,"(37.9052773, 23.7454819)"
94240070,PANEL ΔΥΟ ΚΑΙ ΤΕΣΣΕΡΑ ΑΝΩΝΥΜΗ ΔΙΑΦΗΜΗΣΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΔΙΔΥΜΟΤΕΙΧΟΥ 5,26331 ΠΑΤΡΑ,"59.161.229,23",-,"66.350.526,89","125.511.756,12",-,-,-,.,"(38.2401207, 21.7471127)"
94002830,Θ Δ ΓΕΩΡΓΙΑΔΗΣ ΑΕ ΚΑΠΝΟΒΙΟΜΗΧΑΝΙΑ ΣΙΓΑΡΕΤΩΝ,75 ΧΛΜ ΕΟ ΑΘΗΝΩΝ ΛΑΜΙΑΣ  ΕΛΑΙΩΝΑΣ ΘΗΒΩΝ 0,32200 ΘΗΒΑ,"823.353,86","61.753.426,23","57.201.330,26","119.778.110,35","2.324.142,09","2.187.205,68","4.511.347,77",.,"(38.019349, 23.7238432)"
94437013,LEPANTO ΡΟΥΧΑ ΥΠΟΔΗΜΑΤΑΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΔΑΦΝΗΣ 14,18122 ΚΟΡΥΔΑΛΛΟΣ,"500,00","41.085.840,05","83.158.333,35","124.244.673,40",-,-,-,.,"(37.9852402, 23.6411652)"
94251220,Γ Ε Δ Υ  ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΠΡΟΙΟΝΤΩΝ ΑΜΙΑΝΤΟΤΣΙΜΕΝΤΟΥ,ΙΛΙΣΙΩΝ 29 ΚΑΘ ΑΙΟΛΙΑΣ 12,14564 ΚΗΦΙΣΙΑ,"39.633.566,81",-,"78.640.660,24","118.274.227,05","1.846.809,25","3.512.915,28","5.359.724,53",.,"(38.0914928, 23.7934399)"
94184080,ΑΤΕΡΜΩΝ ΔΥΝΑΜΙΚΗ ΕΠΙΚΟΙΝΩΝΙΑ ΑΝΩΝΥΜΟΣ ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΤΑΙΡΙΑ,ΣΤΡΥΜΩΝΟΣ ΚΑΙ ΚΟΖΑΝΗΣ 12 0,11855 ΑΘΗΝΑ,"63.807.133,76",-,"59.018.420,29","122.825.554,05","269.317,23","317.881,61","587.198,84",.,"(37.9781581, 23.7055347)"
999898475,ΑΓΓΕΛΟΣ ΤΟΥΡΑΠΗΣ ΕΠΕ,ΠΑΡΝΗΘΟΣ 98,13671 ΑΧΑΡΝΕΣ,"3,52","42.927.332,28","78.471.164,47","121.398.500,27",-,-,-,.,"(38.0888674, 23.7375189)"
96002479,ΚΑΤΑΝΑΛΩΤ ΠΙΣΤΩΤΙΚ ΣΥΝΕΤΑΙΡ Π Ε ΟΚΑΤΑΝΑΛΩΤΗΣ,ΓΙΑΝΝΙΤΣΩΝ 59,54627 ΘΕΣΣΑΛΟΝΙΚΗ,"39.204.524,24",-,"78.402.410,72","117.606.934,96","1.154.112,77","2.203.352,25","3.357.465,02",.,"(40.6463888, 22.9219003)"
94039152,ΥΠΟΔΗΜΑΤΟΠΟΙΙΑ ΑΛΜΑ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΑΒΕΕ,ΣΕΝΕΚΑ 2,14564 ΚΗΦΙΣΙΑ,"38.245.734,11",-,"76.490.344,84","114.736.078,95","2.053.899,75","3.911.778,07","5.965.677,82",.,"(38.0895285, 23.7876864)"
94428803,ΑΣΠΙΣ ΠΡΟΝΟΙΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΑΣΦΑΛΙΣΕΩΝ ΖΗΜΙΩΝ,ΒΑΣΙΛΙΣΗΣ ΣΟΦΙΑΣ 60,11528 ΑΘΗΝΑ,"44.844.465,79",-,"71.729.601,50","116.574.067,29","916.416,49","1.209.377,64","2.125.794,13",.,"(37.9782656, 23.7526146)"
94006538,ΑΣΠΙΣ ΠΡΟΝΟΙΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΓΕΝΙΚΩΝ ΑΣΦΑΛΕΙΩΝ,ΒΑΣΙΛΙΣΗΣ ΣΟΦΙΑΣ 60,11528 ΑΘΗΝΑ,"45.039.228,59",-,"67.677.005,06","112.716.233,65","2.515.515,37","3.047.551,38","5.563.066,75",.,"(37.9782656, 23.7526146)"
94297743,ΚΟΡΟΝΗΜ ΑΕ ΠΑΡΑΓ ΕΜΠΟΡ ΝΗΜΑΤΩΝ ΥΦΑΣΜΑΤΩΝ,ΑΝΑΓΕΝΝΗΣΕΩΣ ΤΕΡΜΑ 0,56334 ΕΛΕΥΘΕΡΙΟ,"39.008.200,58",-,"78.016.505,38","117.024.705,96","413.266,64","673.973,28","1.087.239,92",.,"(40.6411346, 22.9286269)"
999069060,ΚΕΝΤΩΡ ΕΜΠΟΡΙΟ ΛΙΑΝΙΚΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΕΡΥΘΡΟΥ ΣΤΑΥΡΟΥ 5,15123 ΜΑΡΟΥΣΙ,"78.041.121,20","3.016.732,12","36.879.233,74","117.937.087,06",-,-,-,.,"(38.027565, 23.7891626)"
94231164,ΕΠΤΑ ΘΑΛΑΣΣΕΣ ΑΝΩΝ ΕΜΠ ΒΙΟΜ ΕΤΑΙΡΕΙΑ,ΤΡΙΠΟΛΕΩΣ 2,18863 ΠΕΡΑΜΑ,"22.951.798,59","27.895.346,67","67.054.032,06","117.901.177,32",-,-,-,.,"(37.9633105, 23.6066914)"
94220912,ΝΑΥΠΗΓΕΙΑ ΑΥΛΙΔΟΣ ΑΕ,ΒΑΘΥ 0,34100 ΧΑΛΚΙΔΑ,"28.808.151,22","2.593,58","59.951.881,53","88.762.626,33","9.534.126,25","18.151.538,53","27.685.664,78",.,"(38.4056496, 23.6019042)"
94340123,Ν ΔΗΜΗΤΡΙΟΥ ΚΑΙ ΥΙΟΙ ΕΒΤΑΕ,ΑΡΕΘΟΥΣΗΣ 157,34100 ΧΑΛΚΙΔΑ,"42.956.280,89",-,"73.468.900,21","116.425.181,10",-,-,-,.,"(38.4606428, 23.6059543)"
999887983,ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΜΕΤΑΛΛΙΚΩΝ ΚΑΤΑΣΚΕΥΩΝ,7 ΧΙΛ ΔΡΑΜΑΣ ΚΑΒΑΛΑΣ 0,66100 ΔΡΑΜΑ,"64.958.097,42",-,"48.420.061,30","113.378.158,72","348.977,67","518.376,08","867.353,75",.,"(41.1502273, 24.1469489)"
94337063,ΚΑΝΙΜΟ ΤΥΠΟΓΡ ΕΡΓΑΣ ΗΛΚΑ ΜΗΧΤΑ ΟΙΚΟΔ ΕΠΙΧΕΙΡ ΑΝΕΤ,ΒΟΥΛ 25ΗΣ ΜΑΡΤΙΟΥ 6,16452 ΑΡΓΥΡΟΥΠΟΛΗ,"37.684.306,96",-,"75.774.554,62","113.458.861,58",-,-,-,.,"(37.90429049999999, 23.7465744)"
94003211,ΔΑΡΙΓΚ Ο ΣΙΑ,ΒΑΛΑΩΡΙΤΟΥ 4,10671 ΑΘΗΝΑ,"36.457.715,05",-,"67.187.989,01","103.645.704,06","3.290.238,80","6.042.806,65","9.333.045,45",.,"(37.9776613, 23.7368352)"
95334704,Δ ΑΓΙΟΜΑΥΡΙΤΗΣ ΦΩΤΚΑ ΥΛΙΚΑ ΕΠΕ,ΘΗΣΕΩΣ 291,17674 ΚΑΛΛΙΘΕΑ,"45.404.731,39",-,"67.517.961,12","112.922.692,51",-,-,-,.,"(37.9492074, 23.6913503)"
99362509,ΚΙΒΩΤΟΣ ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΛΑΤΟΜΙΚΗ ΚΑΙ ΟΙΚΟΔΟΜΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ 10,14562 ΚΗΦΙΣΙΑ,"44.504.007,90",-,"65.665.572,05","110.169.579,95","951.598,61","1.657.442,56","2.609.041,17",.,"(38.0710474, 23.8123521)"
99936927,Α Τ Ε Β Ι Δ Ε  ΑΝΩΝΥΜΟΣ ΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΗΛΙΟΥΠΟΛΕΩΣ 3,11631 ΑΘΗΝΑ,"58.828.525,97",-,"53.808.770,79","112.637.296,76",-,-,-,.,"(37.9601176, 23.7374552)"
94481560,AUTHENTIC ΑΝΩΝ ΒΙΟΜ ΚΑΙΕΜΠ ΕΤ ΕΙΔΩΝ ΕΝΔΥΣΕΩΣ,ΠΑΤΗΣΙΩΝ 131,11252 ΑΘΗΝΑ,"42.549.579,05",-,"66.547.518,45","109.097.097,50","1.093.721,00","2.047.684,28","3.141.405,28",.,"(37.9979106, 23.7325941)"
94140229,ΒΙΟΜΗΧΑΝΙΑ ΜΗΧΑΝΗΜΑΤΩΝ ΚΛΙΜΑΤΙΣΜΟΥ ΚΑΙ ΗΛΙΑΚΗΣ ΕΝΕΡΓΕΙΑΣ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΙΑ,20 ΧΛΜ ΕΘΝ ΟΔΟΥ ΑΘΗΝΩΝ ΛΑΜΙΑΣ 0,14569 ΑΝΟΙΞΗ,"33.754.355,32",-,"39.711.415,98","73.465.771,30","13.143.776,94","24.827.528,63","37.971.305,57",.,"(38.1317568, 23.8603199)"
94343322,ΗΛΤΕΞ ΑΒΕΕ ΒΙΟΜΗΧ ΠΛΕΚΤΥΦΑΣΜ ΕΚΜΕΤ ΑΘΛΗΤ ΧΩΡ ΑΣΤ ΥΦ,ΚΑΛΟΧΩΡΙ 0,57009 ΚΑΛΟΧΩΡΙ,"48.139.186,37",-,"62.310.046,08","110.449.232,45","341.270,72","504.383,21","845.653,93",.,"(40.6429179, 22.859184)"
94334233,INTERSONIC ADVANCED TECHNOLOGIES ΑΒΕΕ ΠΑΡΑΓ ΔΙΑΘΕΣΗΣ ΚΑΙ ΕΜΠΟΡ ΑΝΑΛΟΓΙΚΩΝ ΨΗΦΙΑΚΩΝ ΟΠΤΙΚΩΝ ΜΕΣΩΝ ΚΑΙ,ΕΛ ΒΕΝΙΖΕΛΟΥ 2,17676 ΚΑΛΛΙΘΕΑ,"68.720.885,16",-,"41.640.708,89","110.361.594,05",-,-,-,.,"(37.9599131, 23.6972694)"
94050064,ΚΟΡΤΑΓΚ ΚΛΩΣΤΟΥΦΑΝΤΟΥΡΓΙΑ ΑΕ,ΚΟΡΙΝΟΣ 0,60062 ΚΟΡΙΝΟΣ,"37.988.009,90",-,"70.282.267,43","108.270.277,33","568.441,54","1.014.860,51","1.583.302,05",.,"(40.3164117, 22.5846703)"
94000405,ΑΙΓΑΙΟΝ ΑΕ,ΜΙΚΡΑΣ ΑΣΙΑΣ 28,18547 ΠΕΙΡΑΙΑΣ,"23.339.969,17","6.527,61","52.477.481,21","75.823.977,99","11.437.841,78","21.124.725,11","32.562.566,89",.,"(37.9478167, 23.6569841)"
94500682,ΝΕΑ ΜΕΣΑ ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΕΚΤΥΠΩΣΕΩΝ ΚΑΙ ΔΙΑΦΗΜΙΣΕΩΝ,ΛΕΩΦ ΚΡΥΟΝΕΡΙΟΥ 105,14568 ΚΡΥΟΝΕΡΙ,"44.725.029,54",-,"60.438.786,84","105.163.816,38","753.964,09","1.311.109,37","2.065.073,46",.,"(38.1408555, 23.8384575)"
94065053,ΑΡΟΤΡΙΟΣ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΓΕΩΡΓΙΚΩΝ ΜΗΧΑΝΗΜΑΤΩΝ ΚΑΙ ΚΙΝΗΤΗΡΩΝ,ΜΑΙΑΝΔΡΟΥ 77,14341 Ν ΦΙΛΑΔΕΛΦΕΙΑ,"37.562.892,05",-,"69.242.466,20","106.805.358,25",-,-,-,.,"(38.0378313, 23.7341927)"
94008359,ΜΥΛΟΙ ΒΟΙΩΤΙΑΣ ΑΕ Ε ΑΡΧΟΝΤΑΚΗΣ Γ ΚΟΚΚΙΝΟΣ,Λ ΙΩΝΙΑΣ 223,11143 ΑΘΗΝΑ,"35.679.765,22","624.809,09","70.131.020,27","106.435.594,58",-,-,-,.,"(38.0191494, 23.7308387)"
94010392,ΝΑΥΠΗΓΕΙΑ ΕΛΕΥΣΙΝΟΣ ΑΕ,ΚΟΛΩΝΟΥ 12,10437 ΑΘΗΝΑ,"12.576.203,33",-,"25.152.123,20","37.728.326,53","23.076.403,17","43.997.859,18","67.074.262,35",.,"(37.9826603, 23.722452)"
999200538,ΔΕΡΜΑΤΕΜΠΟΡΙΚΗ ΕΠΕ,6 ΧΛΜ ΤΡΙΚΑΛΩΝ ΚΑΛΑΜΠΑΚΑΣ 0,42100 ΤΡΙΚΑΛΑ,"50.999.405,19",-,"51.642.255,05","102.641.660,24",-,-,-,.,"(39.7067153, 21.6236206)"
